"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_satisfice.nlogo"
"satisfice"
"02/23/2016 06:07:46:556 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","color-patches-by","failure-min","wealth-increase-threshold","sense-radius","vision-mode","profit-multiplier","max-ticks","num-investors","risk-multiplier","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [current-utility] of turtles"
"110","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","83072.5880932234","153.66246757247643"
"111","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","93820.73746907228","248.6498506113786"
"112","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","87459.05091133226","165.93195765757378"
"113","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","83713.31005302977","178.93395714299353"
"107","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","85445.51642289027","390.1362276262903"
"114","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","75103.61651597437","334.34190727159023"
"116","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","84845.51805723576","173.05803364008773"
"117","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","81385.61075104009","312.6900424284485"
"118","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","92342.97468756334","304.1640160035647"
"119","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","82973.28607830839","152.2310376252845"
"120","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","77612.68324365106","221.30177275524022"
"121","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","81340.93499041213","138.84949169818964"
"115","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","68182.27745990407","173.50261615141102"
"122","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","77284.15997192118","262.8618271554957"
