"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_for_ch_11.nlogo"
"vary-risk"
"02/23/2016 04:30:19:519 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"161","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","94530.70998004473","7101.712466650838","0.05827191571858151"
"160","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","95773.58417713329","6645.355389403208","0.05042802527396914"
"162","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","103292.24241930766","6912.420320715178","0.04995117904592328"
"163","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","102312.73896765862","7068.592433765094","0.052719152262996796"
"165","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","85568.15436176029","6793.328598609214","0.05852293779953758"
"164","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","109021.64229034282","6999.226813419486","0.05194845933925503"
"167","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","89975.56483471737","6899.471078825012","0.05559082670505927"
"166","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","96737.23221594958","7324.851301271914","0.0601103849972817"
"168","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","96428.5190045009","6758.630720681796","0.050073554344203186"
"169","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","98339.79602434493","6662.783394821055","0.05603689644081762"
"170","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","96130.3262552641","6788.071410032236","0.05597788364950944"
"171","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","105410.12690938357","6864.533468538302","0.05595278569722895"
"173","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","110404.04798468495","7111.375917606638","0.05447692011666467"
"174","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","105400.82018992219","7253.3286966997475","0.05007599144030849"
"175","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","91524.17900851843","7044.572973782678","0.05642199925582096"
"172","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","93972.66848164785","7327.163010141624","0.0564819497790679"
"177","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","92469.44207258086","6878.911372806001","0.058549230730679705"
"178","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","100873.87496223353","7063.029228012919","0.055620811988541484"
"176","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","99938.83410957764","7193.629012162875","0.05417303955863659"
"179","25","""neighbors""","10","0.01","1.8","""exp utility""","100","1","0.1","""wealth""","24","93092.4496309206","7065.922186538481","0.052450814463558676"
"181","25","""neighbors""","10","0.01","1.9","""exp utility""","100","1","0.1","""wealth""","24","83414.80052351876","7062.849703122503","0.05884113606384239"
"183","25","""neighbors""","10","0.01","1.9","""exp utility""","100","1","0.1","""wealth""","24","94511.28457080135","6903.323899826391","0.05847659455061983"
