"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor.nlogo"
"vary-vision-and-investors"
"02/18/2016 09:01:54:816 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth"
"219","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","166004.76233965822"
"220","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","185512.25417309804"
"222","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","157982.90440650203"
"223","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","215857.8862425148"
"221","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","190101.54712388263"
"224","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","194211.3613618569"
"226","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","163175.07543789755"
"225","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","166403.3495760606"
"227","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","177996.92434856071"
"229","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","171922.8850862395"
"230","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","170643.12317553489"
"231","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","188313.54869627362"
"228","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","187768.97772942478"
"233","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","170707.30870130437"
"232","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","175884.45077552157"
"235","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","199164.74832548053"
"234","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","164925.28546590632"
"236","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","212153.8315184329"
"237","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","157861.53528577424"
"238","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","203224.0229432072"
"239","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","166393.15744980663"
"240","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","202155.3606319917"
"241","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","195252.7455319311"
"242","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","202002.55666846034"
"243","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","229541.84044869748"
"244","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","166346.89563293292"
"245","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","198699.9581723193"
"246","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","130406.75287485518"
"247","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","218924.7810662401"
"248","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","170158.56122182772"
"249","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","197711.54590999451"
"250","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","159319.9025575026"
"251","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","193853.77682760998"
"252","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","172781.87985437934"
"253","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","219055.6433688688"
"254","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","166955.58722720254"
"255","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","152706.4598535447"
"256","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","204513.26412489323"
"257","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","193784.1250757515"
"258","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","184698.6749953096"
"259","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","197427.99177598144"
"260","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","176300.09835034804"
"262","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","192134.75321998104"
"261","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","171739.566489581"
"264","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","207570.536165329"
"265","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","180737.63445449324"
"263","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","221389.40365667088"
"266","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","192383.3611274048"
"267","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","190206.6730329666"
"269","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","204710.12680719933"
"270","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","172143.1414476671"
"268","0.1","""red""","""radius""","0.01","""exp utility""","10","8","25","24","189993.23367506606"
"271","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","202074.99982256663"
"273","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","202527.19866205094"
