"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_for_ch_11.nlogo"
"vary-profit"
"02/23/2016 04:29:22:553 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"97","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","91493.97070156285","5267.901187046388","0.03331551522599377"
"101","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","97390.09114311896","5415.691610592579","0.03164393147085172"
"99","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","87517.71119554696","5307.317375911358","0.03601662522719321"
"100","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","95212.43294251007","5118.959662677546","0.031890771145681125"
"102","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","85865.90003047757","5510.108538284629","0.03495973582814486"
"103","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","88045.14830585498","5298.714047564585","0.032851163081677154"
"104","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","87998.93947940934","5535.383043484101","0.03248540402494759"
"106","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","98266.01185012954","5570.901751250378","0.033352644381787554"
"108","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","95159.03170835365","5442.393813713632","0.03328508602265392"
"105","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","98867.9003255743","5551.4817076829895","0.03258496092511631"
"107","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","98168.75275480481","5537.766943396802","0.03348946869206695"
"109","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","98259.48637928598","5465.595841922796","0.03058418849014301"
"110","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","97143.52586769321","5635.573175972516","0.03210769803498577"
"112","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","105862.33325347719","5709.4040394542435","0.03212939275922855"
"113","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","95966.98580997605","5542.244357920714","0.03005514821594584"
"111","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","98615.42168145669","5340.153007665629","0.031164835816953906"
"114","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","104552.4723035676","5256.693896243361","0.030979528864918334"
"115","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","103174.78351073433","5388.637412900748","0.029963455654474436"
"116","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","96485.75278528339","5186.55869243098","0.03126801956870623"
"118","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","106702.3008260008","5500.299071189042","0.03306713229943537"
"117","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","98999.33132002842","5881.149359687609","0.03309713030224793"
